Department,Tech Group,Sub-Category,Priority,Description,assistant (For Getlogs only)
Technology Services,Service Desk,New Joinee,P3 - Planned,Request to on board a new employee. This will be the tag if there's a request for bio enrollment but the enrollee has no existing bio ID yet.,
Service Delivery External,Service Delivery External - Procurement,Vendor verification,P1 - Procurement,Any ticket related to Verification process for vendors specific to Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Vendor sourcing,P1 - Procurement,Any ticket related to Sourcing of vendors tailored for Zoom clients' needs.,
Service Delivery External,Service Delivery External - Procurement,Vendor Accreditation,P1 - Procurement,Any ticket related to Accreditation process for vendors exclusive to Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Vendor Documents,P1 - Procurement,Any ticket related to Management of vendor-related documents specifically for Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Vendor Card Creation,P1 - Procurement,"Any ticket related to  Creation of vendor cards within the system, customized for Zoom clients.",
Service Delivery External,Service Delivery External - Procurement,New - Item / Service,P1 - Procurement,Any ticket related to Adding new items or services tailored to the requirements of Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Reorder - Item / Service,P1 - Procurement,Any ticket related to Reordering of items or services specifically for Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Canvassing,P1 - Procurement,Any ticket related to Conducting canvassing activities tailored to the needs of Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,PO Processing,P1 - Procurement,Any ticket related to Processing of purchase orders specifically for Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Canvassing + PO Processing,P1 - Procurement,Any ticket related to Combined activities of canvassing and purchase order processing for Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,New Vendor Accreditation + PO Processing,P1 - Procurement,"Any ticket related to Accreditation of new vendors along with purchase order processing, customized for Zoom clients.",
Service Delivery External,Service Delivery External - Procurement,Canvassing + Vendor Accreditation + PO Processing,P1 - Procurement,"Any ticket related to comprehensive process involving canvassing, vendor accreditation, and purchase order processing for Zoom clients.",
Service Delivery External,Service Delivery External - Procurement,Delivery Dates,P1 - Procurement,Any ticket related to Managing delivery dates for orders placed by Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Notice of Incomplete Delivery,P1 - Procurement,"Any ticket related to Notification regarding incomplete deliveries, specific to Zoom clients.",
Service Delivery External,Service Delivery External - Procurement,Delivery Documents,P1 - Procurement,Any ticket related to Management of delivery-related documents for Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Invoice Posting,P1 - Procurement,Any ticket related to Posting of invoices tailored to Zoom clients' requirements.,
Service Delivery External,Service Delivery External - Procurement,Invoice Revision,P1 - Procurement,Any ticket related to Revision of invoices as needed by Zoom clients.,
Service Delivery External,Service Delivery External - Procurement,Other Inquiries / Requests,P1 - Procurement,Any ticket related to Handling of any other inquiries or requests specific to Zoom clients.,
Technology Services,Service Desk,BCP Testing,P3 - Planned,BCP testing-related activities.,
Technology Services,Service Desk,Client,P2 - General,BCP activation by an internal employee.,
Technology Services,Service Desk,Internal,P2 - General,BCP activation by a client who availed the BCP service KMC provides.,
Technology Services,Service Desk,Bio ID Request,P3 - Planned,Request for a bio ID (existing).,
Technology Services,Service Desk,NT Login Password Reset,P1 - Critical,An internal employee reporting a lost or stolen laptop/desktop,
Technology Services,Service Desk,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Service Desk,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Service Desk,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Service Desk,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Service Desk,General Inquiry,P3 - Planned,Any ticket requesting or seeking information or updates. This can be used by all technician groups except those groups that already has the 'General' sub-category on their dedicated category (i.e ACS > TS Biometric > General Biometric Services). Also used for Grab booking assistance.,
Technology Services,Service Desk,Employee Leaving,P3 - Planned,Off boarding ticket for a resigned or resigning employee.,
Technology Services,Service Desk,Exit Clearance,P3 - Planned,Ticket related to the signing of clearance of a resigned employee.,
Technology Services,Service Desk,Recurring Ticket Request/Removal,P3 - Planned,Request to create or delete a recurring ticket,
Technology Services,Service Desk,Report Generation,P3 - Planned,Request to generate a ticket report,
Technology Services,Service Desk,Ticketing Inquiry,P3 - Planned,Any inquiry related to the ticketing system,
Technology Services,Service Desk,Test Ticket,P3 - Planned,Dedicated category for test tickets,
Technology Services,Service Desk,NT Login Account Unlock,P2 - General,Login issues that will require an account unlock in the Active Directory.,
Technology Services,Service Desk,NT Login Password Reset,P2 - General,Login issues that will require a password reset in the Active Directory.,
Technology Services,Service Desk,NT Login Re-enable,P3 - Planned,Request to re-enable an already disabled account in the Active Directory.,
Technology Services,Service Desk,OSP Access Disable,P3 - Planned,Request to disable access in the OSP.,
Technology Services,Service Desk,OSP Access Request,P3 - Planned,Request access to the OSP.,
Technology Services,Service Desk,OSP Account Unlock,P2 - General,Account lockout issue in the OSP.,
Technology Services,SOC,Malicious Email,P2 - General,Emails that are malicious in nature.,
Technology Services,SOC,Phishing Incident,P1 - Critical,Tickets related to a phishing attempt or incident.,
Technology Services,SOC,Spam,P2 - General,Any tickets related to any forms of spamming.,
Technology Services,SOC,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,SOC,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,SOC,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,SOC,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,SOC,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,SOC,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,SOC,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,SOC,General Inquiry,P3 - Planned,Any ticket requesting or seeking information or updates. This can be used by all technician groups except those groups that already has the 'General' sub-category on their dedicated category (i.e ACS > TS Biometric > General Biometric Services). Also used for Grab booking assistance.,
Technology Services,SOC,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in Network Security. Mostly an internally planned/scheduled evaluation. ,
Technology Services,SOC,Vulnerability Remediation,P2 - General,Any tickets regarding network security concerns or findings that require attention from either the SOC (Security Operations Center) or the Network Team.,
Technology Services,SOC,Alerts and Detection,P2 - General,"Tickets associated with real-time alerts and detections in Network Security. Usually a real-time system or 
monitoring alerts that require immediate attention and prompt action.",
Technology Services,SOC,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in Systems/servers Security. Mostly an internally planned/scheduled evaluation. ,
Technology Services,SOC,Vulnerability Remediation,P2 - General,Any tickets associated with system/server security concerns or findings and evaluation results that require resolution from both the SOC (Security Operations Center) or the Systems Team.,
Technology Services,SOC,Alerts and Detection,P2 - General,Tickets associated with real-time alerts and detections in System/Server Security. Usually a real-time system or monitoring alerts that require immediate attention and prompt action.,
Technology Services,SOC,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in web applications. Mostly an internally planned/scheduled evaluation. ,
Technology Services,SOC,Vulnerability Remediation,P2 - General,Any tickets associated with concerns or findings in Web/Applications that require resolution from either the SOC (Security Operations Center) or the Development Team.,
Technology Services,Technical Project Management,CASA IT support,P2 - General | P3 - Planned,Any request related to CASA desktop/laptop support,
Technology Services,Technical Project Management,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,Technical Project Management,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Technical Project Management,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Technical Project Management,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Technical Project Management,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Technical Project Management,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Technical Project Management,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Technical Project Management,Client Move out,P3 - Planned,Ticket notification regarding a client move out.,
Technology Services,Technical Project Management,Lease Extension,P3 - Planned,Ticket notification regarding a client’s lease extension.,
Technology Services,Technical Project Management,New Client,P3 - Planned,Ticket notification regarding a new client.,
Technology Services,Technical Project Management,General IT Services,P3 - Planned,"Request related to inquiries, ITS concerns, discovery call, and client calls.",
Technology Services,Technical Project Management,Hardware Purchase,P3 - Planned,ITS creation for laptop and desktop purchase requests.,
Technology Services,Technical Project Management,Hardware Rental,P3 - Planned,ITS creation for laptop and desktop rental requests.,
Technology Services,Technical Project Management,IT Storage Rental,P3 - Planned,ITS creation for IT storage rental requests.,
Technology Services,Technical Project Management,Quotation for Room Modification,P3 - Planned,ITS creation for any room modification-related requests.,
Technology Services,Technical Project Management,Quotation for Services,P3 - Planned,ITS creation for any additional IT setup/configuration.,
Technology Services,Technical Project Management,RFID,P3 - Planned,ITS creation for badge card requests.,
Technology Services,Technical Project Management,Site Build,P4 - Project,"Ticket for new/incoming site builds projects: Design & Build Layout, TPMO PR Requirement, Punchlist Completion and QA Completion.",
HR,Training (People Experience),PEX Training Request (Internal),P1 - People Experience,Requests for training programs or sessions organized internally within the company for employee development.,
HR,Training (People Experience),PEX Training Request (External),P1 - People Experience,Requests for training programs or sessions organized externally by third-party providers for employee development.,
HR,Training (People Experience),PEX Training Report,P1 - People Experience,"Reports generated from training activities, including attendance, feedback, and outcomes.",
HR,Training (People Experience),PEX Pubmats/Collaterals Request,P1 - People Experience,Requests for promotional materials or collaterals related to training programs.,
Technology Services,TS Managers,Deployment/Movement,P3 - Planned,Request for a food allowance during a deployment/movement activity (assign to either Sir Jupiter or Ms Majo),
Technology Services,TS Managers,Maintenance,P3 - Planned,Request for a food allowance during a maintenance activity (assign to either Sir Jupiter or Ms Majo),
Technology Services,TS Managers,Meeting,P3 - Planned,Request for a food allowance during a meeting (assign to either Sir Jupiter or Ms Majo),
Technology Services,TS Managers,General Inquiry,P3 - Planned,Any ticket requesting or seeking information or updates. This can be used by all technician groups except those groups that already has the 'General' sub-category on their dedicated category (i.e ACS > TS Biometric > General Biometric Services). Also used for Grab booking assistance.,
Technology Services,TS Procurement,BOC Clearance,P4 - Project,Tickets related to international shipments.,
Technology Services,TS Procurement,Calculation of Asset Value,P3 - Planned,Request to calculate the value of an asset (depreciated value or otherwise).,
Technology Services,TS Procurement,General Procurement Inquiry,P3 - Planned,Any request handled by the TS Procurement that is not on the list.,
Technology Services,TS Procurement,Government Permit,P3 - Planned,Ticket for government permit processing.,
Technology Services,TS Procurement,Payment/Invoices/Liquidation,P3 - Planned,"Tickets related to payments, invoices, and liquidation.",
Technology Services,TS Procurement,Purchase Request,P4 - Project,"Ticket for purchase, replenishment, or buffer requests.",
Technology Services,TS Procurement,Quotation Request,P4 - Project,Ticket for quotation requests and revision of quotation.,
Technology Services,TS Procurement,Report,P3 - Planned,Ticket for purchased assets report.,
Technology Services,TS Procurement,Vendor Coordination,P3 - Planned,Ticket TS Procurement when coordinating with a vendor regarding a concern with a purchased asset.,
Technology Services,TS Procurement,Recurring Ticket Request/Removal,P3 - Planned,Request to create or delete a recurring ticket,
Technology Services,TS Procurement,Report Generation,P3 - Planned,Request to generate a ticket report,
Technology Services,TS Procurement,Ticketing Inquiry,P3 - Planned,Any inquiry related to the ticketing system,
Technology Services,TS Procurement,Test Ticket,P3 - Planned,Dedicated category for test tickets,
Technology Services,TS Procurement,Delisting,P4 - Project,Ticket to process the delisting/deregistration of a site.,
Technology Services,TS Procurement,Farm-In,P3 - Planned,Ticket to process the farm-in PEZA permit.,
Technology Services,TS Procurement,Farm-Out,P4 - Project,Ticket to process the farm-out PEZA permit thru disposal and movement only.,
Technology Services,TS Procurement,ITH,P4 - Project,Request for IT assistance to process the income tax holiday activity.,
Technology Services,TS Procurement,Report Generation,P3 - Planned,Request to generate a report related to IT PEZA compliance.,
Technology Services,TS Procurement,Vendor Management,P4 - Project,Vendor Accreditation and Process of documents,
Technology Services,Voice and Email,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,Voice and Email,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Voice and Email,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Voice and Email,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Voice and Email,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Voice and Email,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Voice and Email,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Voice and Email,Email Password Reset,P2 - General,Any stolen/lost asset incident will require an email password reset for security purposes,
Technology Services,Voice and Email,Access Request,P3 - Planned,"Request to access any O365 resource (email account, SharePoint folder).",
Technology Services,Voice and Email,Calendar and Events Management,P3 - Planned,All tickets related to the Calendar and Events Management in O365.,
Technology Services,Voice and Email,Distrolist/Mailbox,P3 - Planned,"Tickets related to the distribution lists and mailboxes (creation, member update, access).",
Technology Services,Voice and Email,Email Detail Update,P3 - Planned,"Request to update/edit a user’s email account (display name, email address, job title, etc).",
Technology Services,Voice and Email,Email Issue,P2 - General,Any issue within the O365 solutions.,
Technology Services,Voice and Email,Email Storage,P2 - General | P3 - Planned,Ticket related to the email storage.,
Technology Services,Voice and Email,License Request/Removal,P3 - Planned,Request to provision/remove a license.,
Technology Services,Voice and Email,Malicious Email,P2 - General,Any tickets related to malicious activities or incidents.,
Technology Services,Voice and Email,MFA Request/Concern,P2 - General | P3 - Planned,Tickets related to the O365 multi-factor authentication (MFA).,
Technology Services,Voice and Email,Phishing Incident,P1 - Critical,Tickets related to a phishing attempt or incident.,
Technology Services,Voice and Email,Spam,P2 - General,Any tickets related to any forms of spamming.,
Technology Services,Voice and Email,Telephony Outage,P1 - Critical,Any outage ticket related to the 3CX phone system,
Technology Services,Voice and Email,Hardphone Issue,P2 - General,Ticket for IP phone-related issues.,
Technology Services,Voice and Email,Configuration assistance,P3 - Planned,"Ticket for telephony configuration assistance, request for a 3CX extension number, etc.",
Technology Services,Voice and Email,General Voice Activity/Inquiry,P3 - Planned,Any voice-related activity/inquiry that are not on the list.,
Technology Services,Voice and Email,Softphone Issue,P1 - Critical | P2 - General,Ticket for 3CX softphone issues.,
Technology Services,Voice and Email,Telco Coordination,P3 - Planned,Ticket for Voice team when coordinating a voice-related concern with a telco company.,
HR,Training (People Experience),TaaS | General Inquiry,P1 - People & Culture,"Tickets related to General questions about TaaS offerings, services, or solutions",
Operations Team,Purchasing,Vendor verification,P1 - Procurement,Any request that requires verification if a certain vendor is an existing accredited to KMC,
Operations Team,Purchasing,Vendor sourcing,P4 - Procurement,Any request that requires specific or list of vendors capable of catering to a specific scope of work,
Operations Team,Purchasing,New vendor accreditation,P5 - Procurement,Any request that requires registration of a new vendor in NAV ,
Operations Team,Purchasing,Vendor Documents,P2 - Procurement,Any ticket endorsing a copy or additional documents that supports the legitimacy of a vendor,
Operations Team,Purchasing,Vendor Card Creation,P2 - Procurement,Any request for vendor card creation as long as an existing and registered vendor from other entities in NAV,
Operations Team,Purchasing,New - Item / Service,P5 - Procurement,Request to source vendor/s for a specific goods/services,
Operations Team,Purchasing,Reorder - Item / Service,P3 - Procurement,Request to source and purchase previous item/service. Requestor to provide previous PO and vendor for reference,
Operations Team,Purchasing,Canvassing,P5 - Procurement,Any request that requires sourcing for a particular scope of work or goods ,
Operations Team,Purchasing,PO Processing,P2 - Procurement,Any purchase request amounting Php 20K and above. With an approved canvass sheet and/or  approval from the department head to proceed the request,
Operations Team,Purchasing,Canvassing + PO Processing,,For delisting. No more hybdrid request in the future,
Operations Team,Purchasing,New vendor Accreditation + PO Processing,,For delisting. No more hybdrid request in the future,
Operations Team,Purchasing,Canvassing + Vendor Accreditation + PO Processing,,For delisting. No more hybdrid request in the future,
Operations Team,Purchasing,Delivery Dates,P2 - Procurement,Inquiry on the date of delivery or the schedule of installation,
Operations Team,Purchasing,Notice of Incomplete Delivery,P2 - Procurement,Any request to notify the incomplete or unfinished delivery/installation/service,
Operations Team,Purchasing,Delivery Documents,P2 - Procurement,Any ticket endorsing a copy of Sales Invoice and Delivery Receipts ,
Operations Team,Purchasing,Invoice Posting,P2 - Procurement,Any request that requires payment processing as long as with PO in place and/or amount above Php 20K,
Operations Team,Purchasing,Invoice Revision,P2 - Procurement,"Any request that requires changes/revision to the invoice such as amount discrepancy, quantity discrepancy and other similar issues related to invoice that requires changes",
Operations Team,Purchasing,Other Inquiries / Requests,P2 - Procurement,Any other request that are not included in all the Procurement sub-category choices,
Operations Team,Service Delivery Asset Management,PEZA Farm In,P2 - Procurement,Any tickets related to farm-in processing to PEZA.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out,P6-Procurement,Any tickets related to farm-out processing to PEZA.,
Operations Team,Service Delivery Asset Management,PEZA Documents or Records Retrieval,P4-Procurement,Any tickets related to records retrieval of PEZA documents.,
Operations Team,Service Delivery Asset Management,PEZA Documents - LOA Liquidation,P1-Procurement,Any tickets related to letter of approval liquidation.,
Operations Team,Service Delivery Asset Management,PEZA Documents - Late Filing: Summary List,P2-Procurement,Any tickets related to providing summary list for late filing.,
Operations Team,Service Delivery Asset Management,PEZA Documents - Forms Liquidation,P2-Procurement,Any tickets related to form ledger liquidation.,
Operations Team,Service Delivery Asset Management,PEZA Documents - Inventory List : Client assigned asset,P2-Procurement,Any tickets related to inventory list for assigned asset.,
Operations Team,Service Delivery Asset Management,PEZA Documents - Inventory List : Farm Out,P3-Procurement,Any tickets related to inventory list for farm out.,
Operations Team,Service Delivery Asset Management,PEZA Farm In - Assumed Assets,P5-Procurement,Any tickets related to farmed-in of assumed assets.,
Operations Team,Service Delivery Asset Management,PEZA Farm In - Late Filing,P6-Procurement,Any tickets related to farmed-in for late filing of assets.,
Operations Team,Service Delivery Asset Management,"PEZA Farm In - New Assets (Aeropark, Cebu, Iloilo, Bacolod)",P4-Procurement,Any tickets related to farm-in of new asset outside NCR or Metro Manila.,
Operations Team,Service Delivery Asset Management,PEZA Farm In - New Assets (NCR),P2-Procurement,Any tickets related to farm-in of new asset within NCR or Metro Manila.,
Operations Team,Service Delivery Asset Management,PEZA Farm In - Transferred Assets,P4-Procurement,Any tickets related to farm-in of transferred asset.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out - Delisting,P6-Procurement,Any tickets related to farm-out delisting of site.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out - Disposal : Sell to Buyer,P6-Procurement,Any tickets related to disposal of asset through buyer.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out - Disposal : Sell to Non PEZA,P6-Procurement,Any tickets related to disposal of asset through non-peza site.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out - Transfer : Zone to Zone,P6-Procurement,Any tickets related to disposal of asset through zone to zone.,
Operations Team,Service Delivery Asset Management,PEZA Inspection Request,P3-Procurement,Any tickets related to PEZA inspection request.,
Operations Team,Service Delivery Asset Management,PEZA Farm Out - Transfer : Ownership,P6-Procurement,Any tickets related to disposal of asset through ownership.,
Operations Team,Service Delivery Asset Management,Office-to-Office Transfer,P4-Procurement,Any tickets related to asset transfer from office to office.,
Operations Team,Service Delivery Asset Management,Site-to-Site Transfer,P4-Procurement,Any tickets related to asset transfer from site to site.,
Operations Team,Service Delivery Asset Management,Site-to-Facilities for repair,P4-Procurement,Any tickets related to asset transfer from site to facilities.,
Operations Team,Service Delivery Asset Management,Facilities - Site,P4-Procurement,Any tickets related to asset transfer from facilities to site,
Operations Team,Service Delivery Asset Management,Facilities - Vendor,P4-Procurement,Any tickets related to asset transfer from facilities to vendor.,
Operations Team,Service Delivery Asset Management,KMC Casa,P4-Procurement,Any tickets related to assets for work from home clients.,
Operations Team,Service Delivery Asset Management,For disposal - Donation,P5-Procurement,Any tickets related to disposal of asset through donation.,
Operations Team,Service Delivery Asset Management,For disposal - Sale,P5-Procurement,Any tickets related to disposal of asset through KMC store.,
Operations Team,Service Delivery Asset Management,For disposal - Scrap,P5-Procurement,Any tickets related to disposal of asset through scrap buyer.,
Operations Team,Service Delivery Asset Management,Warehouse-to-Site Transfer,P4-Procurement,Any tickets related to asset transfer from warehouse storage to site,
Operations Team,Service Delivery Asset Management,Site-To-Warehouse Transfer,P4-Procurement,Any tickets related to asset transfer from site to warehouse storage.,
Operations Team,Service Delivery Asset Management,Asset reservation,P1-Procurement,Any tickets related to asset inquiry and reservation of asset.,
Operations Team,Service Delivery Asset Management,Asset preparation,P3-Procurement,Any tickets related to asset preparation prior to delivery.,
Operations Team,Service Delivery Asset Management,KMC Casa - Delivery,P4-Procurement,Any tickets related to asset delivery from site to work from home client.,
Operations Team,Service Delivery Asset Management,KMC Casa - Retrieval,P4-Procurement,Any tickets related to asset delivery from work from home client to site.,
Operations Team,Service Delivery Asset Management,For disposal - Adhoc Buyer Canvass,P5-Procurement,Any tickets related to canvassing of asset for buyers.,
Operations Team,Service Delivery Asset Management,For disposal - Adhoc Storage Canvass,P5-Procurement,Any tickets related to canvassing of asset storage vendors.,
Operations Team,Service Delivery Asset Management,For disposal - Adhoc Shipping Canvass,P5-Procurement,Any tickets related to canvassing of asset shipping vendors.,
Operations Team,Service Delivery Asset Management,Asset record creation,P1-Procurement,Any tickets related to asset record creation in OSP/AMF.,
Operations Team,Service Delivery Asset Management,Asset record update,P1-Procurement,Any tickets related to asset updating in OSP/AMF.,
Operations Team,Service Delivery Asset Management,Asset record retirement,P2-Procurement,Any tickets related to asset removal in OSP.,
Operations Team,Service Delivery Asset Management,Asset record retrieval,P1-Procurement,Any tickets related to asset retrieval in OSP.,
Operations Team,Service Delivery Asset Management,Vendor Assessment,,N/A. This is general category and breakdown is provided below.,
Operations Team,Service Delivery Asset Management,Project Estimate,,N/A. This is general category and breakdown is provided below.,
Operations Team,Service Delivery Asset Management,Project Costing,,N/A. This is general category and breakdown is provided below.,
Operations Team,Service Delivery Asset Management,Project Awarding,,N/A. This is general category and breakdown is provided below.,
Operations Team,Service Delivery Asset Management,Asset tag number issuance,P3-Service Delivery Asset,"Any tickets related to asset tag number creation, printing and issuance to site.",
Operations Team,Service Delivery Asset Management,Reprinting,P2-Service Deivery Asset,Any tickets related reprinting of existing asset tag number.,
Operations Team,Service Delivery Asset Management,Asset tag tracing,P3-Service Delivery Asset,Any tickets related to asset tag tracing.,
Operations Team,Service Delivery Asset Management,Asset tag number re-issuance due to transfer ownership,P3-Service Delivery Asset,Any tickets related to asset tag number re-issuance for transfer of ownership.,
Operations Team,Service Delivery Asset Management,Asset Counting,P3-Service Delivery Asset,Any tickets related to asset inventory.,
Operations Team,Service Delivery Asset Management,Asset tag tagging,P4-Service Delivery Asset,Any tickets related to asset tag tagging in site.,
Operations Team,Service Delivery Asset Management,Testing and Commissioning,P2-Service Deivery Asset,Any tickets related for testing and commissioning in site.,
Operations Team,Service Delivery Asset Management,Project Initial Punchlist (50%),P3-Service Delivery Asset,Any tickets related to initial punchlist of project at 50%.,
Operations Team,Service Delivery Asset Management,Quality Assessment / Verification,P2-Service Deivery Asset,Any tickets related to quality checking in site.,
Operations Team,Service Delivery Asset Management,Project Initial Punchlist (80-90%),P3-Service Delivery Asset,Any tickets related to initial punchlist of project at 80%-90%.,
Operations Team,Service Delivery Asset Management,Mechanical Plan,P3-Service Delivery Asset,Any tickets related to review of mechanical plan.,
Operations Team,Service Delivery Asset Management,Initial Detailed Cost Estimate,P3-Service Delivery Asset,Any tickets related to generation of initial detailed cost estimate.,
Operations Team,Service Delivery Asset Management,Revised Detailed Cost Estimate,P2-Service Deivery Asset,Any tickets related to revision of detailed cost estimate.,
Operations Team,Service Delivery Asset Management,OSM Quantifying,P1-Service Delivery Asset,Any tickets related to quantifying of OSM materials.,
Operations Team,Service Delivery Asset Management,Revise Budgetary Cost Estimate,P1-Service Delivery Asset,Any tickets related to revision of budgetary cost estimate.,
Operations Team,Service Delivery Asset Management,Initial Budgetary Cost Estimate,P1-Service Delivery Asset,Any tickets related to generation of initial budgetary cost estimate.,
Operations Team,Service Delivery Asset Management,New Accredited Vendor Interview,P1-Service Delivery Asset,Any tickets related to new vendor for interview.,
Operations Team,Service Delivery Asset Management,New Accredited Vendor Ocular Vist,P1-Service Delivery Asset,Any tickets related to assisting new vendor for ocular visit.,
Operations Team,Service Delivery Asset Management,New Vendor Capability Review,P2-Service Deivery Asset,Any tickets related to reviewing the company profile of new vendor.,
Operations Team,Service Delivery Asset Management,Draft of Construction Agreement,P2-Service Deivery Asset,Any tickets related to drafting of construction agreement for awarded vendor.,
Operations Team,Service Delivery Asset Management,Construction Agreement Issuance & Signing,P5-Service Delivery Asset,Any tickets related to construction agreement issuance and signing of KMC and vendor.,
Operations Team,Service Delivery Asset Management,Draft of Notice to Award & Rejection Notice,P1-Service Delivery Asset,Any tickets related to drafting of notice to award and rejection notice to vendors.,
Operations Team,Service Delivery Asset Management,Release for Bidding / Vendor Quotation,P1-Service Delivery Asset,Any tickets related to release for bidding to invited vendors.,
Operations Team,Service Delivery Asset Management,Ocular Inspection with Gencon,P1-Service Delivery Asset,Any tickets related to assisting the vendors for ocular inspection.,
Operations Team,Service Delivery Asset Management,Project Quantifying,P2-Service Deivery Asset,Any tickets related to quantifying of project based on floor plan.,
Operations Team,Service Delivery Asset Management,Respond to Bid Queries,P1-Service Delivery Asset,Any tickets related to answering the bid queries of vendors.,
Operations Team,Service Delivery Asset Management,Cost Comparison Review,P2-Service Deivery Asset,Any tickets related to generating and review of cost comparison based on the submitted cost of vendors.,
Operations Team,Service Delivery Asset Management,BOM Request,P1-Service Delivery Asset,Any tickets related to asking of bill of material for the specific project.,
Operations Team,Service Delivery Asset Management,Initial BOM Review,P2-Service Deivery Asset,Any tickets related to review of initial bill of material.,
Operations Team,Service Delivery Asset Management,Revise BOM Review,P2-Service Deivery Asset,Any tickets related to review of revised bill of material.,
Operations Team,Service Delivery Asset Management,Vendor Quotation/BOM Request,P1-Service Delivery Asset,Any tickets related to asking of bill of material for the specific project.,
Operations Team,Service Delivery Asset Management,VO Quotation Request,P3-Service Delivery Asset,Any tickets related to variation order quotation request.,
Operations Team,Service Delivery Asset Management,VO Cost Review,P2-Service Deivery Asset,Any tickets related to variation order quotation review.,
Operations Team,Service Delivery Asset Management,Change Order Request,P3-Service Delivery Asset,Any tickets related to change order quotation review.,
Operations Team,Service Delivery Asset Management,VO Quotation Request,P3-Service Delivery Asset,Any tickets related to variation order quotation request.,
Operations Team,Service Delivery Asset Management,VO Cost Review,P2-Service Deivery Asset,Any tickets related to variation order quotation review.,
Operations Team,Service Delivery Asset Management,Additive-Deductive Review,P2-Service Deivery Asset,Any tickets related to review of additive-deductive of vendor.,
Operations Team,Service Delivery Asset Management,Post Game Analysis,P2-Service Deivery Asset,Any tickets related to inpuuting analysis for post project.,
Operations Team,Service Delivery Asset Management,Punchlist Insight and Summary,P2-Service Deivery Asset,Any tickets related to provide punchlist summary and insight.,
